age,year,gender,country,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
50-55,2015,man,Luxembourg,0.83829113,0.16170887,0.727020199,0.949562061,0.050437939,0.272979801
55-60,2015,man,Luxembourg,0.534648467,0.465351533,0.453225081,0.616071853,0.383928147,0.546774919
60-65,2015,man,Luxembourg,0.418024867,0.581975133,0.340069542,0.495980192,0.504019808,0.659930458
65-70,2015,man,Luxembourg,0.456190032,0.543809968,0.363173184,0.549206879,0.450793121,0.636826816
70-75,2015,man,Luxembourg,0.271154537,0.728845463,0.197637635,0.344671439,0.655328561,0.802362365
75-80,2015,man,Luxembourg,0.216355942,0.783644058,0.108489013,0.324222871,0.675777129,0.891510987
80+,2015,man,Luxembourg,0.207221005,0.792778995,0.14365826,0.270783749,0.729216251,0.85634174
50-55,2015,man,Portugal,0.768957733,0.231042267,0.452262361,1.085653105,-0.085653105,0.547737639
55-60,2015,man,Portugal,0.730191537,0.269808463,0.57247473,0.887908343,0.112091657,0.42752527
60-65,2015,man,Portugal,0.661745801,0.338254199,0.543594452,0.77989715,0.22010285,0.456405548
65-70,2015,man,Portugal,0.435935852,0.564064148,0.287706663,0.584165041,0.415834959,0.712293337
70-75,2015,man,Portugal,0.37918436,0.62081564,0.234442862,0.523925858,0.476074142,0.765557138
75-80,2015,man,Portugal,0.306308215,0.693691785,0.11301819,0.49959824,0.50040176,0.88698181
80+,2015,man,Portugal,0.115216859,0.884783141,0.032915456,0.197518261,0.802481739,0.967084544
50-55,2015,man,Slovenia,0.799441466,0.200558534,0.719835863,0.879047068,0.120952932,0.280164137
55-60,2015,man,Slovenia,0.673144836,0.326855164,0.620462777,0.725826895,0.274173105,0.379537223
60-65,2015,man,Slovenia,0.521178466,0.478821534,0.466971173,0.575385759,0.424614241,0.533028827
65-70,2015,man,Slovenia,0.447374595,0.552625405,0.394415146,0.500334045,0.499665955,0.605584854
70-75,2015,man,Slovenia,0.43732437,0.56267563,0.376731833,0.497916908,0.502083092,0.623268167
75-80,2015,man,Slovenia,0.335189162,0.664810838,0.262668971,0.407709352,0.592290648,0.737331029
80+,2015,man,Slovenia,0.305658819,0.694341181,0.240888604,0.370429035,0.629570965,0.759111396
50-55,2015,man,Estonia,0.742960704,0.257039296,0.687762591,0.798158817,0.201841183,0.312237409
55-60,2015,man,Estonia,0.50718027,0.49281973,0.463613385,0.550747155,0.449252845,0.536386615
60-65,2015,man,Estonia,0.416240163,0.583759837,0.397816712,0.434663614,0.565336386,0.602183288
65-70,2015,man,Estonia,0.286813902,0.713186098,0.244473464,0.32915434,0.67084566,0.755526536
70-75,2015,man,Estonia,0.255772449,0.744227551,0.232346532,0.279198366,0.720801634,0.767653468
75-80,2015,man,Estonia,0.265288589,0.734711411,0.245813361,0.284763818,0.715236182,0.754186639
80+,2015,man,Estonia,0.134155171,0.865844829,0.094318813,0.173991529,0.826008471,0.905681187
50-55,2015,man,Croatia,0.787635348,0.212364652,0.710250144,0.865020552,0.134979448,0.289749856
55-60,2015,man,Croatia,0.679128285,0.320871715,0.597048653,0.761207918,0.238792082,0.402951347
60-65,2015,man,Croatia,0.634112734,0.365887266,0.566099098,0.70212637,0.29787363,0.433900902
65-70,2015,man,Croatia,0.487269649,0.512730351,0.410295795,0.564243503,0.435756497,0.589704205
70-75,2015,man,Croatia,0.423538319,0.576461681,0.352030126,0.495046513,0.504953487,0.647969874
75-80,2015,man,Croatia,0.411412568,0.588587432,0.300609195,0.522215941,0.477784059,0.699390805
80+,2015,man,Croatia,0.462333045,0.537666955,0.34040336,0.58426273,0.41573727,0.65959664
