age,year,gender,country,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
50-55,2015,man,Denmark,0.052878634,0.947121366,0.039721811,0.066035456,0.933964544,0.960278189
55-60,2015,man,Denmark,0.050179383,0.949820617,0.020120578,0.080238188,0.919761812,0.979879422
60-65,2015,man,Denmark,0.076086665,0.923913335,0.039873124,0.112300206,0.887699794,0.960126876
65-70,2015,man,Denmark,0.075702666,0.924297334,0.059766272,0.09163906,0.90836094,0.940233728
70-75,2015,man,Denmark,0.090415704,0.909584296,0.028647607,0.152183802,0.847816198,0.971352393
75-80,2015,man,Denmark,0.108033531,0.891966469,0.004330391,0.211736671,0.788263329,0.995669609
80+,2015,man,Denmark,0.283975845,0.716024155,0.13518863,0.43276306,0.56723694,0.86481137
50-55,2015,man,Greece,0.015302236,0.984697764,-0.000203778,0.03080825,0.96919175,1.000203778
55-60,2015,man,Greece,0.020260239,0.979739761,0.003231605,0.037288873,0.962711127,0.996768395
60-65,2015,man,Greece,0.018805816,0.981194184,0.002766907,0.034844725,0.965155275,0.997233093
65-70,2015,man,Greece,0.05828251,0.94171749,0.0277265,0.088838521,0.911161479,0.9722735
70-75,2015,man,Greece,0.053290035,0.946709965,0.026070613,0.080509456,0.919490544,0.973929387
75-80,2015,man,Greece,0.102599396,0.897400604,0.062670717,0.142528075,0.857471925,0.937329283
80+,2015,man,Greece,0.202273403,0.797726597,0.14982741,0.254719396,0.745280604,0.85017259
50-55,2015,man,Switzerland,0.029541077,0.970458923,-0.025121596,0.084203751,0.915796249,1.025121596
55-60,2015,man,Switzerland,0.037819226,0.962180774,0.009393418,0.066245034,0.933754966,0.990606582
60-65,2015,man,Switzerland,0.030736414,0.969263586,0.007507936,0.053964892,0.946035108,0.992492064
65-70,2015,man,Switzerland,0.075909653,0.924090347,0.042336062,0.109483244,0.890516756,0.957663938
70-75,2015,man,Switzerland,0.04325924,0.95674076,0.013266083,0.073252396,0.926747604,0.986733917
75-80,2015,man,Switzerland,0.073639047,0.926360953,0.021480176,0.125797918,0.874202082,0.978519824
80+,2015,man,Switzerland,0.153473895,0.846526105,0.104405928,0.202541862,0.797458138,0.895594072
50-55,2015,man,Belgium,0.065101528,0.934898472,0.026662711,0.103540344,0.896459656,0.973337289
55-60,2015,man,Belgium,0.067673662,0.932326338,0.028193279,0.107154046,0.892845954,0.971806721
60-65,2015,man,Belgium,0.109141285,0.890858715,0.080137644,0.138144925,0.861855075,0.919862356
65-70,2015,man,Belgium,0.109180127,0.890819873,0.080241569,0.138118685,0.861881315,0.919758431
70-75,2015,man,Belgium,0.177723718,0.822276282,0.132093011,0.223354426,0.776645574,0.867906989
75-80,2015,man,Belgium,0.162290424,0.837709576,0.110611117,0.21396973,0.78603027,0.889388883
80+,2015,man,Belgium,0.27567194,0.72432806,0.22417852,0.32716536,0.67283464,0.77582148
50-55,2015,man,Israel,0,1,0,0,1,1
55-60,2015,man,Israel,0.03038808,0.96961192,-0.003078823,0.063854983,0.936145017,1.003078823
60-65,2015,man,Israel,0.05682448,0.94317552,0.019560267,0.094088692,0.905911308,0.980439733
65-70,2015,man,Israel,0.069403236,0.930596764,0.035223213,0.103583259,0.896416741,0.964776787
70-75,2015,man,Israel,0.090557736,0.909442264,0.033618601,0.14749687,0.85250313,0.966381399
75-80,2015,man,Israel,0.161413672,0.838586328,0.087959052,0.234868291,0.765131709,0.912040948
80+,2015,man,Israel,0.3889606,0.6110394,0.298791614,0.479129586,0.520870414,0.701208386
50-55,2015,man,Czech Republic,0.110996923,0.889003077,-0.012615288,0.234609134,0.765390866,1.012615288
55-60,2015,man,Czech Republic,0.090723586,0.909276414,0.017895479,0.163551693,0.836448307,0.982104521
60-65,2015,man,Czech Republic,0.128603794,0.871396206,0.083294439,0.17391315,0.82608685,0.916705561
65-70,2015,man,Czech Republic,0.097942832,0.902057168,0.06458604,0.131299624,0.868700376,0.93541396
70-75,2015,man,Czech Republic,0.115562305,0.884437695,0.075142777,0.155981832,0.844018168,0.924857223
75-80,2015,man,Czech Republic,0.18720872,0.81279128,0.12901304,0.245404399,0.754595601,0.87098696
80+,2015,man,Czech Republic,0.240809502,0.759190498,0.17801579,0.303603214,0.696396786,0.82198421
50-55,2015,man,Poland,0.075447744,0.924552256,0.013946723,0.136948766,0.863051234,0.986053277
55-60,2015,man,Poland,0.073731778,0.926268222,0.021865782,0.125597775,0.874402225,0.978134218
60-65,2015,man,Poland,0.150657538,0.849342462,0.117845157,0.183469919,0.816530081,0.882154843
65-70,2015,man,Poland,0.100001748,0.899998252,0.056473352,0.143530143,0.856469857,0.943526648
70-75,2015,man,Poland,0.191991772,0.808008228,0.13612069,0.247862853,0.752137147,0.86387931
75-80,2015,man,Poland,0.217639701,0.782360299,0.123764466,0.311514937,0.688485063,0.876235534
80+,2015,man,Poland,0.337396028,0.662603972,0.296502975,0.378289081,0.621710919,0.703497025
50-55,2015,man,Luxembourg,0.022849199,0.977150801,-0.014487018,0.060185417,0.939814583,1.014487018
55-60,2015,man,Luxembourg,0.043260638,0.956739362,0.007757265,0.078764011,0.921235989,0.992242735
60-65,2015,man,Luxembourg,0.052419218,0.947580782,0.010423811,0.094414625,0.905585375,0.989576189
65-70,2015,man,Luxembourg,0.049652842,0.950347158,0.020621986,0.078683698,0.921316302,0.979378014
70-75,2015,man,Luxembourg,0.108288273,0.891711727,0.054281818,0.162294727,0.837705273,0.945718182
75-80,2015,man,Luxembourg,0.129711154,0.870288846,0.071074574,0.188347733,0.811652267,0.928925426
80+,2015,man,Luxembourg,0.283715308,0.716284692,0.223301774,0.344128841,0.655871159,0.776698226
50-55,2015,man,Portugal,0.062404383,0.937595617,-0.068637163,0.193445928,0.806554072,1.068637163
55-60,2015,man,Portugal,0.153537991,0.846462009,-0.002996556,0.310072538,0.689927462,1.002996556
60-65,2015,man,Portugal,0.065113848,0.934886152,0.014132221,0.116095475,0.883904525,0.985867779
65-70,2015,man,Portugal,0.094071616,0.905928384,0.033811089,0.154332143,0.845667857,0.966188911
70-75,2015,man,Portugal,0.232881019,0.767118981,0.080017885,0.385744153,0.614255847,0.919982115
75-80,2015,man,Portugal,0.153182358,0.846817642,0.049492126,0.256872591,0.743127409,0.950507874
80+,2015,man,Portugal,0.476645854,0.523354146,0.266829519,0.686462188,0.313537812,0.733170481
50-55,2015,man,Slovenia,0.074913118,0.925086882,0.021273905,0.128552331,0.871447669,0.978726095
55-60,2015,man,Slovenia,0.058074718,0.941925282,0.030632933,0.085516504,0.914483496,0.969367067
60-65,2015,man,Slovenia,0.071441363,0.928558637,0.045751039,0.097131688,0.902868312,0.954248961
65-70,2015,man,Slovenia,0.08773369,0.91226631,0.050715253,0.124752126,0.875247874,0.949284747
70-75,2015,man,Slovenia,0.14639542,0.85360458,0.102485988,0.190304852,0.809695148,0.897514012
75-80,2015,man,Slovenia,0.234632453,0.765367547,0.16476782,0.304497087,0.695502913,0.83523218
80+,2015,man,Slovenia,0.238578641,0.761421359,0.179037522,0.29811976,0.70188024,0.820962478
50-55,2015,man,Estonia,0.036659129,0.963340871,0.015623299,0.057694959,0.942305041,0.984376701
55-60,2015,man,Estonia,0.095393622,0.904606378,0.026661165,0.164126079,0.835873921,0.973338835
60-65,2015,man,Estonia,0.08404875,0.91595125,0.065088594,0.103008905,0.896991095,0.934911406
65-70,2015,man,Estonia,0.112448614,0.887551386,0.077148991,0.147748236,0.852251764,0.922851009
70-75,2015,man,Estonia,0.134814426,0.865185574,0.113747162,0.155881691,0.844118309,0.886252838
75-80,2015,man,Estonia,0.174490167,0.825509833,0.156445491,0.192534843,0.807465157,0.843554509
80+,2015,man,Estonia,0.258211503,0.741788497,0.19055265,0.325870356,0.674129644,0.80944735
50-55,2015,man,Croatia,0.049493935,0.950506065,0.017515219,0.081472651,0.918527349,0.982484781
55-60,2015,man,Croatia,0.051663533,0.948336467,0.013456876,0.089870191,0.910129809,0.986543124
60-65,2015,man,Croatia,0.06816226,0.93183774,0.031016249,0.105308271,0.894691729,0.968983751
65-70,2015,man,Croatia,0.066922154,0.933077846,0.028146707,0.1056976,0.8943024,0.971853293
70-75,2015,man,Croatia,0.134294471,0.865705529,0.074616424,0.193972518,0.806027482,0.925383576
75-80,2015,man,Croatia,0.096258905,0.903741095,0.047374823,0.145142988,0.854857012,0.952625177
80+,2015,man,Croatia,0.2364583,0.7635417,0.158524204,0.314392396,0.685607604,0.841475796
